date,tweet,sentiment_score
2025-09-04 15:44:15+00:00,@arubio_marca James Milner?,0.0
2025-09-04 15:38:30+00:00,"João Pedro on James Milner: 'At his age, he arrived early in the gym, pushed young players; sometimes maybe a bad thing had happened to him but he was always happy. His mentality is why he's played for so long. #CFC",0.7845
2025-09-04 15:37:21+00:00,"Player of The Day 001:

Name: Steed Malbranque

Premier League Clubs: Fulham, Spurs, Sunderland.

Apps: 336

Goals: 39

Assists: 55

My Opinion: Underrated/Cult Hero, a lesser James Milner/Mac Allister Hybrid

If Signed By a Team Today: Brentford or Brighton https://t.co/r5d37hAP0P",0.5574
2025-09-04 15:24:44+00:00,"James Milner to Liverpoo 2019
He left City for free to join the Merseyside club
Instantly became a leader and important future at Liverpool and also won them the Premier league UCL and World Cup https://t.co/rpWGqhw8AS",0.875
2025-09-04 15:18:58+00:00,@BenBocsak So there's no more only one James Milner 😂,0.1082
2025-09-04 15:05:32+00:00,@TouchlineX James Milner,0.0
2025-09-04 15:03:31+00:00,@TheKopWatch Szoboszlai is our modern age James Milner.  Play him at Lw st Am cm rb lb even cb he will do his job brilliantly.,0.7506
2025-09-04 14:57:34+00:00,Ashley Young o James Milner https://t.co/2COdqt2yz4,0.0
2025-09-04 14:14:44+00:00,"In @DellAnnaLuca Ergodicity book he talks about the skier who gets injured. Owen is saying he was light years ahead as a teenager, but on the decline at 22. James Milner, who is far less celebrated, was scoring for Brighton against Man City, in the PL last weekend, at nearly 40. https://t.co/Mw2DuRm6LE",0.5804
2025-09-04 13:59:57+00:00,"@CFC_Janty Swap Walker for VVD
Cole for James Milner

And play 3-4-3",0.34
2025-09-04 13:49:41+00:00,@ThaEuropeanLad James milner,0.0
2025-09-04 12:57:11+00:00,@ThaEuropeanLad James Milner ❤️,0.0
2025-09-04 12:49:08+00:00,@BBCWYS James Milner of League 1,0.0
2025-09-04 12:42:32+00:00,@Saizen_0 @TouchlineX By that logic so can Jordan Henderson and James Milner,0.0
2025-09-04 12:38:12+00:00,"🔥 JAMES MILNER STRIKES! 39-year-old LEGEND scores penalty against Man City. Brighton fighting BACK! 💥 #PremierLeague

https://t.co/bxBwXwFTga",-0.9219
2025-09-04 12:37:48+00:00,@FootbalBeatLIVE 🔥 JAMES MILNER STRIKES! 39-year-old LEGEND scores penalty against Man City. Brighton fighting BACK! 💥 #PremierLeague,-0.9219
2025-09-04 12:33:33+00:00,James Milner could have the most appearances in Premier league history by the end of the season https://t.co/IsooydRNr8,0.0
2025-09-04 12:18:39+00:00,"Not sure why this came into my head, but would this be the “Managers Dream” Premier League 11?

Shay Given
John O’Shea - Tony Hibbert - Phil Neville
Darren Fletcher - Conor Gallagher - Jordan Henderson - James Milner
Ji Sung Park - Roberto Firmino - Dirk Kuyt",-0.1232
2025-09-04 11:58:08+00:00,@NoContextBrits Very James Milner,0.0
2025-09-04 11:50:43+00:00,@NoContextBrits Is this James Milner ?,0.0
2025-09-04 11:23:18+00:00,James Milner has now overtaken Dean Windass as the second oldest PL  goalscorer.,0.0
2025-09-04 11:17:03+00:00,@falsewinger_ It’s James Milner bro,0.0
2025-09-04 10:54:37+00:00,@a8lers Gareth Barry record for the most PL appearances is being threatened by James Milner.,-0.4588
2025-09-04 10:51:05+00:00,"James Milner : 24 Consecutive Premier League Seasons and still Counting

Comment Below
Like and Follow
Click the Link in the Bio for more

#Milner #LeedsUtd #Brighton #NewcastleUtd #ManCity https://t.co/pokGqnrtpQ",0.3612
2025-09-04 10:16:58+00:00,@LFCApproved James milner pls,0.0772
2025-09-04 10:06:53+00:00,@NoContextBrits James Milner out of 10.,0.0
2025-09-04 09:50:28+00:00,"EXCLUSIVE INTERVIEW: JOÃO PEDRO

A visit to his home to discuss Chelsea's title chances, his Ballon d'Or aims, looking out for Estêvão, his love of music, of James Milner… and going fishing with Rodrigo Muniz. #cfc 🔵🇧🇷
https://t.co/00W0qcXRIa",0.8038
2025-09-04 09:13:30+00:00,James milner Brighton &amp; Hove Albion FC's oldest #PL goalscorers! it's impossible not to appreciate him #PremierLeague #hilights #Highlight #liverpool #HullCity #brightonandhove  #ManchesterCity #mancity  ⚽️🎯 https://t.co/DwTlnNYRvp,0.1114
2025-09-04 08:56:19+00:00,"3. James Milner (Leeds, Newcastle, Aston Villa, Manchester City, Liverpool)

· Why He's Underrated: The ultimate utility man. While people joke about ""James Milner being 40 and still running,"" his professionalism, versatility, and football intelligence are unparalleled. https://t.co/oH09wZfSnh",0.6486
2025-09-04 08:11:06+00:00,Is Rooney the most overrated player of all time? Some people actually claim that he had a better career than James Milner https://t.co/cDWALUJSvB,0.4404
2025-09-04 07:30:20+00:00,@_GIO15_ James milner,0.0
2025-09-04 06:14:59+00:00,@godfather1916_ @xAntraxGg_10X @TheRoyalSerf « 10000% more feminine » and she has a bigger jaw than james milner 🤣🤣🤣,0.8625
2025-09-04 03:35:52+00:00,@TiagoRevamped @lholsyv3 No thiago and no Trent with James Milner at RB,-0.5267
2025-09-04 02:36:59+00:00,"@WelBeast Merino is like James Milner

A strong utility player who can play in any position,always available coz he hardly gets injured yet in most games doesn't give a standout performance

Remember this is Milner's 24th consecutive season in the premier league

That's the role of Merino",0.6983
2025-09-04 02:32:19+00:00,"@znbshen @OfficialBHAFC This post from Brighton &amp; Hove Albion celebrates their 2-1 Premier League win over Manchester City on Aug 31, 2025. Kaoru Mitoma (No. 22) assisted the 89th-minute winner by Brajan Gruda after James Milner's 67' penalty equalizer. The photos show teammates hugging in celebration.",0.9022
2025-09-04 00:15:39+00:00,James Milner killed me in that game https://t.co/wl0VI50D0Z https://t.co/AHx6sWeO8Z,-0.6705
2025-09-03 20:43:08+00:00,"@Kiki_SZNN Ben Davies is in that Kyle Walker, Ashley Young, James Milner category. That’s the only way I can explain it.",0.0
2025-09-03 20:30:22+00:00,@ThaEuropeanLad How has nobody mentioned this man? Everyone loves James Milner https://t.co/G2C5Vj5aYH,0.5719
2025-09-03 20:17:02+00:00,"@wowzers69696 You know absolutely nothing about the Liverpool team, Henderson and jones are CM
Fabinho was our only DM throughout those years, also in this match James Milner a CM played RB for us.

With Fabinho injuries we played so many matches without a natural DM",0.3999
2025-09-03 20:08:59+00:00,Posting this video of James Milner scoring a penalty and doing Jota’s celebrations because why not🥲🥲🥲 #favouriteplayer #yesmillylad https://t.co/KvinZVKnin,-0.4588
2025-09-03 19:35:21+00:00,@SamueILFC Younger than James Milner 😭,-0.4767
2025-09-03 19:27:42+00:00,"@thomashammond__ We all know that with discipline and good care players are lasting much longer, look at James Milner",0.7269
2025-09-03 19:10:56+00:00,"There’s no age limit to education, Brighton manager is younger than Lewis Dunk and James Milner https://t.co/qTlbGpMc1x",-0.296
2025-09-03 18:40:05+00:00,@LFC_Tandy James Milner,0.0
2025-09-03 18:24:23+00:00,@nocontextfm1 James Milner.,0.0
2025-09-03 16:10:17+00:00,"James Milner has basically been around since the dawn of time 😂
He’s played in 21 of the last 22 Premier League seasons, only missing 2004/05 when Leeds went down. Absolute legend 👏

👉 https://t.co/cOu3ciDawd

#PremierLeague #Milner #Liverpool #Brighton #PL #Football” https://t.co/b4gxVhtEFe",0.4767
2025-09-03 16:03:37+00:00,"Commercial real estate is more than financial returns. It builds the framework for communities to thrive.

James Milner, CCIM, is guided by two commitments:

 ✔ Delivering profitable outcomes for investors
 ✔ Creating a lasting, positive impact in Boone and the High Country https://t.co/zRFtgpy0oE",0.8481
2025-09-03 15:43:42+00:00,James Milner about to take the number 1 spot this season https://t.co/rZ7iqkqiVp,0.0772
2025-09-03 14:59:43+00:00,@KTearKnee63 @Memeulous James Milner without Ribena,0.0
2025-09-03 14:43:06+00:00,How did James Milner avoid his 2nd yellow there 😭😭😭 https://t.co/1gfUEZuvpu,-0.8885
2025-09-03 14:39:23+00:00,"PL goals this season

James Milner: 1 (32 minutes played)

Mateta: 1 (263 minutes played)

Debate settled
#bhafc #cpfc",0.5859
2025-09-03 14:28:30+00:00,"James Milner type beat

Second youngest Goalscorer in PL
Second oldest Goalscorer in PL https://t.co/Z2a0YG5R2H",0.0
2025-09-03 14:16:31+00:00,@UTDNosa1 Known set piece specialist James Milner,0.0
2025-09-03 14:14:31+00:00,@secondtierpod Wayne Rooney and James Milner are the same age.,0.0
2025-09-03 14:06:03+00:00,@MoSalah Mo Salah just entered his James Milner arc,0.0
2025-09-03 13:37:28+00:00,@UtdKriss James Milner,0.0
2025-09-03 13:04:45+00:00,"@MCFC_Jacky James Milner should have seen second yellow after challenging Bernardo, he also escaped red &amp; possible penalty for his earlier foul against Foden in the box https://t.co/Bj9cAmoE5U",-0.34
2025-09-03 12:48:57+00:00,Dominik Szoboszlai is a younger version of James Milner. Guy can play anywhere and still deliver. https://t.co/Y5i7ykpMqQ,0.34
2025-09-03 12:37:38+00:00,@felix_jnf 13 more games for James Milner to break to most appearances record 👏,0.0
2025-09-03 12:02:54+00:00,@PeakyRed James Milner,0.0
2025-09-03 12:00:18+00:00,🚨-#BHAFC are worried about the recent behaviour of James Milner. Since downloading TikTok he’s been harassing staff at the training ground by repeatably shouting “67” and then laughing to himself. Concern heightened as he volunteered for the penalty as it was in the 67th minute. https://t.co/MwExgCImnY,-0.6705
2025-09-03 11:36:27+00:00,"Gruda on Milner: ""Every day in training, he pushes me 100 per cent, every day, every minute. If I do something wrong, I know it, because I have James Milner in my back and he tells me this every time...I'm looking up to him."" #bhafc https://t.co/sNOPn75BMh",-0.4767
2025-09-03 11:22:51+00:00,@RevistaPanenka James Milner y Alan Smith en el Leeds de David O’Leary,0.0
2025-09-03 11:21:32+00:00,"@RevistaPanenka James Milner y Alan Smith
LEEDS UNITED",0.5473
2025-09-03 11:16:16+00:00,@PolitlcsUK @JasonGroves1 Reminds me of the Boring James Milner stuff from years ago,-0.3182
2025-09-03 11:02:04+00:00,@nocontextfm1 James Milner,0.0
2025-09-03 10:56:24+00:00,@nocontextfm1 James Milner,0.0
2025-09-03 10:09:02+00:00,@nocontextfm1 James Milner,0.0
2025-09-03 09:39:44+00:00,@nocontextfm1 James Milner,0.0
2025-09-03 08:55:15+00:00,@nocontextfm1 James Milner.,0.0
2025-09-03 08:11:06+00:00,@Maddox_CFC Yeah against a 37yr old James Milner and then the Terrence Trent Darby of defending GTFO,0.296
2025-09-03 07:28:33+00:00,@Voetbalvragenv1 James Milner,0.0
