player_name,shots,goals,assists,key_passes,match_id,match_date
Anita Amma Ankyewah Asante,0,0,0,0,3775648,2025-08-30
Anna Patten,0,0,0,0,3775648,2025-08-30
Asmita Ale,0,0,0,0,3775648,2025-08-30
Bethany Mead,5,0,1,2,3775648,2025-08-30
Caitlin Jade Foord,0,0,0,0,3775648,2025-08-30
Carlotte Wubben-Moy,0,0,0,0,3775648,2025-08-30
Chloe Arthur,0,0,0,0,3775648,2025-08-30
Danielle van de Donk,2,0,0,2,3775648,2025-08-30
Elisha N''Dow,1,0,0,1,3775648,2025-08-30
Emma Follis,0,0,0,0,3775648,2025-08-30
Freya Gregory,0,0,0,0,3775648,2025-08-30
Jennifer Patricia Beattie,0,0,0,0,3775648,2025-08-30
Jill Roord,3,0,1,3,3775648,2025-08-30
Jodie Hutton,0,0,0,0,3775648,2025-08-30
Jordan Nobbs,2,1,0,2,3775648,2025-08-30
Katie McCabe,2,1,1,4,3775648,2025-08-30
Leah Williamson,2,0,0,0,3775648,2025-08-30
Leonie Maier,0,0,0,0,3775648,2025-08-30
Lia Wälti,0,0,0,4,3775648,2025-08-30
Lisa Evans,1,1,0,0,3775648,2025-08-30
Lisa Weiß,0,0,0,0,3775648,2025-08-30
Lydia Grace Yilkari Williams,0,0,0,0,3775648,2025-08-30
Mana Iwabuchi,0,0,0,3,3775648,2025-08-30
Marisa Ewers,0,0,0,0,3775648,2025-08-30
Nadine Hanssen,0,0,0,0,3775648,2025-08-30
Natalie Haigh,0,0,0,0,3775648,2025-08-30
Noelle Maritz,2,0,0,1,3775648,2025-08-30
Stine Larsen,4,0,0,0,3775648,2025-08-30
Vivianne Miedema,8,1,0,1,3775648,2025-08-30
Anna Patten,0,0,0,1,3775609,2025-08-30
Anouk Denton,0,0,0,1,3775609,2025-08-30
Bethany Mead,2,0,0,1,3775609,2025-08-30
Caitlin Jade Foord,2,0,0,0,3775609,2025-08-30
Carlotte Wubben-Moy,1,0,0,0,3775609,2025-08-30
Cecilie Redisch Kvamme,0,0,0,1,3775609,2025-08-30
Dagný Brynjarsdóttir,2,0,0,1,3775609,2025-08-30
Danielle van de Donk,0,0,0,0,3775609,2025-08-30
Emily Louise van Egmond,2,0,0,0,3775609,2025-08-30
Gilly Louise Scarlett Flaherty,0,0,0,0,3775609,2025-08-30
Grace Fisk,0,0,0,0,3775609,2025-08-30
Hawa Cissoko,0,0,0,0,3775609,2025-08-30
Jill Roord,1,0,0,0,3775609,2025-08-30
Jordan Nobbs,0,0,0,2,3775609,2025-08-30
Kate Longhurst,0,0,0,0,3775609,2025-08-30
Katie McCabe,1,0,0,2,3775609,2025-08-30
Kenza Dali,1,0,0,2,3775609,2025-08-30
Kim Little,1,1,0,3,3775609,2025-08-30
Laura Vetterlein,0,0,0,0,3775609,2025-08-30
Leah Williamson,2,0,0,0,3775609,2025-08-30
Lia Wälti,0,0,0,0,3775609,2025-08-30
Lydia Grace Yilkari Williams,0,0,0,0,3775609,2025-08-30
Mackenzie Arnold,0,0,0,0,3775609,2025-08-30
Martha Thomas,2,0,0,0,3775609,2025-08-30
Mayumi Pacheco,0,0,0,1,3775609,2025-08-30
Noelle Maritz,0,0,2,1,3775609,2025-08-30
Vivianne Miedema,5,1,0,3,3775609,2025-08-30
Abbie McManus,0,0,0,0,3775633,2025-08-30
Alanna Stephanie Kennedy,4,0,0,0,3775633,2025-08-30
Angela Addison,1,0,0,0,3775633,2025-08-30
Anita Amma Ankyewah Asante,0,0,0,0,3775633,2025-08-30
Asmita Ale,0,0,0,2,3775633,2025-08-30
Aurora Watten Mikalsen,0,0,0,0,3775633,2025-08-30
Diana Micaela Abreu de Sousa e Silva,2,0,0,0,3775633,2025-08-30
Elisha N''Dow,0,0,0,0,3775633,2025-08-30
Emma Follis,0,0,0,0,3775633,2025-08-30
Freya Gregory,0,0,0,0,3775633,2025-08-30
Gemma Suzanne Davison,0,0,0,1,3775633,2025-08-30
Jessica Naz,0,0,0,1,3775633,2025-08-30
Jodie Hutton,0,0,0,0,3775633,2025-08-30
Kerys Harrop,1,0,0,2,3775633,2025-08-30
Kit Graham,2,0,0,2,3775633,2025-08-30
Lisa Weiß,0,0,0,0,3775633,2025-08-30
Lucy Quinn,0,0,0,1,3775633,2025-08-30
Mana Iwabuchi,4,1,0,0,3775633,2025-08-30
Marisa Ewers,1,0,0,0,3775633,2025-08-30
Nadine Hanssen,1,0,0,0,3775633,2025-08-30
Natalie Haigh,0,0,0,0,3775633,2025-08-30
Ria Percival,1,0,0,0,3775633,2025-08-30
Rianna Dean,0,0,0,0,3775633,2025-08-30
Rosella Ayane,1,0,0,0,3775633,2025-08-30
Shelina Laura Zadorsky,1,0,0,0,3775633,2025-08-30
So-Hyun Cho,1,0,0,2,3775633,2025-08-30
Sophie Haywood,0,0,0,0,3775633,2025-08-30
Stine Larsen,0,0,0,0,3775633,2025-08-30
Abbey-Leigh Stringer,0,0,0,0,3775570,2025-08-30
Aileen Whelan,2,0,0,1,3775570,2025-08-30
Alisha Lehmann,1,0,0,0,3775570,2025-08-30
Claire Emslie,2,0,0,1,3775570,2025-08-30
Danique Kerkdijk,0,0,0,0,3775570,2025-08-30
Ellie Brazil,1,0,0,0,3775570,2025-08-30
Emily Simpkins,0,0,0,0,3775570,2025-08-30
Emma Wilhelmina Koivisto,0,0,0,0,3775570,2025-08-30
Gabrielle George,0,0,0,0,3775570,2025-08-30
Geum-Min Lee,1,0,0,0,3775570,2025-08-30
Grace Clinton,0,0,0,0,3775570,2025-08-30
Hayley Emma Raso,6,3,0,0,3775570,2025-08-30
Inessa Kaagman,0,0,0,1,3775570,2025-08-30
Ingrid Moe Wold,1,0,0,1,3775570,2025-08-30
Isobel Mary Christiansen,2,1,0,5,3775570,2025-08-30
Jill Scott,1,0,0,0,3775570,2025-08-30
Kayleigh Green,1,0,0,0,3775570,2025-08-30
Libby Bance,0,0,0,0,3775570,2025-08-30
Lucy Hope,0,0,0,0,3775570,2025-08-30
Maisie Symonds,0,0,0,1,3775570,2025-08-30
Maya Le Tissier,0,0,0,0,3775570,2025-08-30
Megan Connolly,1,0,0,0,3775570,2025-08-30
Megan Finnigan,0,0,0,0,3775570,2025-08-30
Megan Walsh,0,0,0,0,3775570,2025-08-30
Nicoline Sørensen,1,0,0,1,3775570,2025-08-30
Poppy Pattinson,0,0,0,0,3775570,2025-08-30
Rikke Læntver Sevecke,0,0,1,0,3775570,2025-08-30
Simone Magill,1,1,1,0,3775570,2025-08-30
Tinja-Riikka Tellervo Korpela,0,0,0,0,3775570,2025-08-30
Victoria Williams,0,0,0,0,3775570,2025-08-30
Agnes Beever-Jones,0,0,0,0,3775581,2025-08-30
Anita Amma Ankyewah Asante,0,0,0,0,3775581,2025-08-30
Asmita Ale,0,0,0,0,3775581,2025-08-30
Chloe Arthur,1,0,0,0,3775581,2025-08-30
Diana Micaela Abreu de Sousa e Silva,0,0,0,0,3775581,2025-08-30
Drew Spence,0,0,0,0,3775581,2025-08-30
Elisha N''Dow,0,0,0,0,3775581,2025-08-30
Ella Franklin-Fraiture,0,0,0,0,3775581,2025-08-30
Emily Syme,0,0,0,0,3775581,2025-08-30
Emma Follis,0,0,0,0,3775581,2025-08-30
Erin Cuthbert,0,0,0,1,3775581,2025-08-30
Francesca Kirby,1,0,2,2,3775581,2025-08-30
Freya Gregory,0,0,0,0,3775581,2025-08-30
Guro Reiten,2,0,0,3,3775581,2025-08-30
Hannah Jayne Blundell,1,0,0,1,3775581,2025-08-30
Jessica Carter,1,0,0,0,3775581,2025-08-30
Jessie Alexandra Fleming,3,0,0,1,3775581,2025-08-30
Jodie Hutton,0,0,0,0,3775581,2025-08-30
Lisa Weiß,0,0,0,0,3775581,2025-08-30
Magdalena Lilly Eriksson,2,0,0,0,3775581,2025-08-30
Mana Iwabuchi,0,0,0,0,3775581,2025-08-30
Marisa Ewers,0,0,0,0,3775581,2025-08-30
Melanie Leupolz,0,0,0,0,3775581,2025-08-30
Millie Bright,0,0,0,0,3775581,2025-08-30
Nadine Hanssen,0,0,0,0,3775581,2025-08-30
Niamh Charles,0,0,0,0,3775581,2025-08-30
Olivia McLoughlin,0,0,0,1,3775581,2025-08-30
Pernille Mosegaard Harder,1,0,0,3,3775581,2025-08-30
Samantha May Kerr,7,2,0,2,3775581,2025-08-30
Shania Hayles,0,0,0,0,3775581,2025-08-30
So-Yun Ji,1,0,0,0,3775581,2025-08-30
Zecira Musovic,0,0,0,0,3775581,2025-08-30
Aileen Whelan,1,0,0,1,3775579,2025-08-30
Amalie Vevle Eikeland,2,0,0,0,3775579,2025-08-30
Angharad James,3,0,0,2,3775579,2025-08-30
Bethan Roberts,0,0,0,0,3775579,2025-08-30
Brooke Chaplen,2,0,0,1,3775579,2025-08-30
Danielle Carter,2,1,0,1,3775579,2025-08-30
Danique Kerkdijk,0,0,0,0,3775579,2025-08-30
Deanna Cooper,0,0,0,0,3775579,2025-08-30
Ellie Brazil,0,0,0,2,3775579,2025-08-30
Emily Simpkins,0,0,0,0,3775579,2025-08-30
Emma Harries,0,0,0,0,3775579,2025-08-30
Emma Wilhelmina Koivisto,0,0,0,1,3775579,2025-08-30
Fara Williams,2,1,0,2,3775579,2025-08-30
Felicity Gibbons,0,0,0,0,3775579,2025-08-30
Ga-Eul Jeon,0,0,0,0,3775579,2025-08-30
Geum-Min Lee,2,2,0,0,3775579,2025-08-30
Grace Moloney,0,0,0,0,3775579,2025-08-30
Inessa Kaagman,2,0,0,1,3775579,2025-08-30
Kayleigh Green,3,0,1,1,3775579,2025-08-30
Kristine Leine,0,0,0,3,3775579,2025-08-30
Libby Bance,1,0,0,0,3775579,2025-08-30
Maya Le Tissier,0,0,0,0,3775579,2025-08-30
Megan Walsh,0,0,0,0,3775579,2025-08-30
Molly Bartrip,0,0,1,0,3775579,2025-08-30
Natasha Harding,2,1,1,1,3775579,2025-08-30
Nora Heroum,0,0,0,0,3775579,2025-08-30
Rachel Rowe,4,0,0,0,3775579,2025-08-30
Victoria Williams,0,0,0,0,3775579,2025-08-30
Anita Amma Ankyewah Asante,0,0,0,0,3775544,2025-08-30
Asmita Ale,0,0,0,0,3775544,2025-08-30
Cecilie Redisch Kvamme,1,0,0,4,3775544,2025-08-30
Chloe Arthur,0,0,0,0,3775544,2025-08-30
Dagný Brynjarsdóttir,3,0,0,3,3775544,2025-08-30
Elisha N''Dow,0,0,0,0,3775544,2025-08-30
Emily Louise van Egmond,4,0,0,1,3775544,2025-08-30
Emily Syme,1,0,0,0,3775544,2025-08-30
Emma Follis,0,0,0,0,3775544,2025-08-30
Freya Gregory,0,0,0,1,3775544,2025-08-30
Gilly Louise Scarlett Flaherty,1,0,0,2,3775544,2025-08-30
Grace Fisk,1,0,0,0,3775544,2025-08-30
Hawa Cissoko,0,0,0,0,3775544,2025-08-30
Jodie Hutton,0,0,0,0,3775544,2025-08-30
Kate Longhurst,1,0,0,1,3775544,2025-08-30
Kenza Dali,6,0,0,6,3775544,2025-08-30
Laura Vetterlein,0,0,0,0,3775544,2025-08-30
Lisa Weiß,0,0,0,0,3775544,2025-08-30
Mackenzie Arnold,0,0,0,0,3775544,2025-08-30
Mana Iwabuchi,0,0,0,1,3775544,2025-08-30
Marisa Ewers,0,0,0,0,3775544,2025-08-30
Martha Thomas,8,0,0,4,3775544,2025-08-30
Mayumi Pacheco,1,0,0,0,3775544,2025-08-30
Nadine Hanssen,0,0,0,0,3775544,2025-08-30
Natalie Haigh,0,0,0,0,3775544,2025-08-30
Olivia McLoughlin,1,0,0,0,3775544,2025-08-30
Shania Hayles,3,0,0,1,3775544,2025-08-30
Stine Larsen,2,0,0,1,3775544,2025-08-30
Alanna Stephanie Kennedy,1,1,0,0,3775622,2025-08-30
Amy Turner,0,0,0,0,3775622,2025-08-30
Angela Addison,0,0,0,0,3775622,2025-08-30
Ashleigh Neville,0,0,0,0,3775622,2025-08-30
Carrie Jones,0,0,0,0,3775622,2025-08-30
Christen Annemarie Press,7,1,0,1,3775622,2025-08-30
Ella Toone,4,2,1,1,3775622,2025-08-30
Esther Morgan,0,0,0,0,3775622,2025-08-30
Gemma Suzanne Davison,0,0,0,0,3775622,2025-08-30
Jackie Groenen,0,0,0,1,3775622,2025-08-30
Jane Ross,0,0,0,0,3775622,2025-08-30
Jessica Naz,1,0,0,0,3775622,2025-08-30
Jessica Sigsworth,1,1,0,0,3775622,2025-08-30
Josie Green,0,0,0,0,3775622,2025-08-30
Katie Zelem,1,0,0,2,3775622,2025-08-30
Kerys Harrop,0,0,0,0,3775622,2025-08-30
Kirsty Hanson,3,0,1,2,3775622,2025-08-30
Kirsty Smith,0,0,0,2,3775622,2025-08-30
Kit Graham,1,0,0,0,3775622,2025-08-30
Leah Galton,1,0,0,1,3775622,2025-08-30
Lucy Staniforth,1,0,0,0,3775622,2025-08-30
Maria Thorisdottir,0,0,0,0,3775622,2025-08-30
Mary Alexandra Earps,0,0,0,0,3775622,2025-08-30
Millie Turner,0,0,0,0,3775622,2025-08-30
Ona Batlle Pascual,0,0,0,0,3775622,2025-08-30
Rachel Williams,0,0,0,2,3775622,2025-08-30
Rebecca Leigh Spencer,0,0,0,0,3775622,2025-08-30
Rianna Dean,0,0,0,0,3775622,2025-08-30
Rosella Ayane,0,0,0,0,3775622,2025-08-30
Shelina Laura Zadorsky,0,0,0,0,3775622,2025-08-30
Siri Worm,0,0,0,0,3775622,2025-08-30
So-Hyun Cho,0,0,0,0,3775622,2025-08-30
Adriana Kristina Leon,5,0,0,2,3775553,2025-08-30
Alisha Lehmann,2,0,0,0,3775553,2025-08-30
Christie Murray,1,0,0,1,3775553,2025-08-30
Claudia Walker,3,1,0,0,3775553,2025-08-30
Connie Scofield,0,0,0,0,3775553,2025-08-30
Emily Louise van Egmond,1,1,0,0,3775553,2025-08-30
Emma Rose Kelly,0,0,0,0,3775553,2025-08-30
Gemma Lawley,0,0,0,0,3775553,2025-08-30
Georgia Brougham,0,0,0,1,3775553,2025-08-30
Gilly Louise Scarlett Flaherty,1,0,0,0,3775553,2025-08-30
Grace Fisk,0,0,0,0,3775553,2025-08-30
Hannah Hampton,0,0,0,0,3775553,2025-08-30
Harriet Scott,1,0,0,0,3775553,2025-08-30
Jamie-Lee Napier,2,0,0,0,3775553,2025-08-30
Kate Longhurst,0,0,0,0,3775553,2025-08-30
Katerina Svitková,0,0,0,0,3775553,2025-08-30
Kenza Dali,1,0,0,1,3775553,2025-08-30
Laura Vetterlein,0,0,0,0,3775553,2025-08-30
Leanne Kiernan,0,0,0,1,3775553,2025-08-30
Lucy Whipp,0,0,0,0,3775553,2025-08-30
Mackenzie Arnold,0,0,0,0,3775553,2025-08-30
Martha Thomas,3,0,0,3,3775553,2025-08-30
Mollie Green,0,0,1,1,3775553,2025-08-30
Rachel Corsie,0,0,0,0,3775553,2025-08-30
Rachel Daly,0,0,1,2,3775553,2025-08-30
Rebecca Holloway,0,0,0,1,3775553,2025-08-30
Sarah Emma Mayling,1,0,0,0,3775553,2025-08-30
So-Hyun Cho,0,0,0,0,3775553,2025-08-30
Bethany Mead,2,0,0,3,3775584,2025-08-30
Caitlin Jade Foord,4,1,0,1,3775584,2025-08-30
Carlotte Wubben-Moy,0,0,0,0,3775584,2025-08-30
Chloe Mccarron,0,0,0,0,3775584,2025-08-30
Christie Murray,1,0,0,1,3775584,2025-08-30
Claudia Walker,1,0,0,0,3775584,2025-08-30
Connie Scofield,0,0,0,0,3775584,2025-08-30
Danielle van de Donk,1,0,0,1,3775584,2025-08-30
Destiney Toussaint,0,0,0,0,3775584,2025-08-30
Emma Rose Kelly,1,0,0,0,3775584,2025-08-30
Gemma Lawley,0,0,0,1,3775584,2025-08-30
Georgia Brougham,0,0,0,0,3775584,2025-08-30
Hannah Hampton,0,0,0,0,3775584,2025-08-30
Harriet Scott,0,0,0,0,3775584,2025-08-30
Jamie-Lee Napier,0,0,0,0,3775584,2025-08-30
