date,market_value_eur,club
2015-12-02,50000,AS Monaco U19
2016-02-04,250000,AS Monaco
2016-04-09,1000000,AS Monaco
2016-07-13,1500000,AS Monaco
2016-11-01,4000000,AS Monaco
2017-01-16,10000000,AS Monaco
2017-06-01,35000000,AS Monaco
2017-10-12,90000000,Paris Saint-Germain
2018-01-24,120000000,Paris Saint-Germain
2018-06-04,120000000,Paris Saint-Germain
2018-07-16,150000000,Paris Saint-Germain
2018-10-24,180000000,Paris Saint-Germain
2018-12-17,200000000,Paris Saint-Germain
2019-06-03,200000000,Paris Saint-Germain
2019-12-19,200000000,Paris Saint-Germain
2020-04-08,180000000,Paris Saint-Germain
2020-10-15,180000000,Paris Saint-Germain
2021-04-09,160000000,Paris Saint-Germain
2021-06-01,160000000,Paris Saint-Germain
2021-12-16,160000000,Paris Saint-Germain
2022-05-30,160000000,Paris Saint-Germain
2022-11-02,160000000,Paris Saint-Germain
2022-12-23,180000000,Paris Saint-Germain
2023-06-27,180000000,Paris Saint-Germain
2023-12-18,180000000,Paris Saint-Germain
2024-06-03,180000000,Paris Saint-Germain
2024-12-27,160000000,Real Madrid
2025-03-21,170000000,Real Madrid
2025-06-09,180000000,Real Madrid
